symbol,signal,horizon,ic_pearson,n,n_top10,ev_top_bps,ev_bot_bps,long_short_edge_bps,spread_bps_median
005930,obi_1,10,,107777,10778,1.164,-1.499,2.663,
005930,obi_1,50,,107777,10778,1.668,-2.554,4.221,
005930,obi_1,200,,107651,10766,1.024,-3.605,4.629,
005930,obi_total,10,,107777,10778,0.063,inf,-inf,
005930,obi_total,50,,107777,10778,0.066,inf,-inf,
005930,obi_total,200,,107651,10766,-0.597,inf,-inf,
005930,ofi_proxy,10,,107777,10820,0.238,-0.409,0.647,
005930,ofi_proxy,50,,107777,10820,0.323,-0.725,1.048,
005930,ofi_proxy,200,,107651,10775,-0.01,-1.543,1.533,
005930,micropx_dev_bps,10,0.3101,107767,10777,1.158,-1.492,2.65,5.493
005930,micropx_dev_bps,50,0.3066,107727,10773,1.677,-2.548,4.225,5.493
005930,micropx_dev_bps,200,0.1874,107577,10758,1.074,-3.596,4.67,5.493
005930,vol_flow,10,,107777,10785,-0.2,inf,-inf,
005930,vol_flow,50,,107777,10785,-0.461,inf,-inf,
005930,vol_flow,200,,107651,10769,-1.259,inf,-inf,
000660,obi_1,10,,106148,10615,1.422,-1.605,3.028,
000660,obi_1,50,,106148,10615,2.673,-3.38,6.053,
000660,obi_1,200,,106008,10601,3.072,-4.632,7.703,
000660,obi_total,10,,106148,10615,0.246,-0.208,0.454,
000660,obi_total,50,,106148,10615,0.357,-0.745,1.102,
000660,obi_total,200,,106008,10601,-0.178,-1.675,1.497,
000660,ofi_proxy,10,,106148,10714,0.355,-0.412,0.767,
000660,ofi_proxy,50,,106148,10714,0.571,-0.883,1.453,
000660,ofi_proxy,200,,106008,10714,0.346,-1.719,2.065,
000660,micropx_dev_bps,10,0.2466,106138,10614,1.421,-1.612,3.032,10.576
000660,micropx_dev_bps,50,0.2856,106098,10612,2.653,-3.369,6.022,10.576
000660,micropx_dev_bps,200,0.2021,105948,10595,3.061,-4.664,7.724,10.576
000660,vol_flow,10,,106148,10627,-0.033,inf,-inf,
000660,vol_flow,50,,106148,10627,-0.092,inf,-inf,
000660,vol_flow,200,,106008,10626,-0.615,inf,-inf,
005380,obi_1,10,,84179,8419,0.973,-1.438,2.411,
005380,obi_1,50,,84144,8415,2.21,-3.439,5.649,
005380,obi_1,200,,83994,8401,3.468,-5.041,8.509,
005380,obi_total,10,,84179,8418,0.201,inf,-inf,
005380,obi_total,50,,84144,8415,0.77,inf,-inf,
005380,obi_total,200,,83994,8400,1.666,inf,-inf,
005380,ofi_proxy,10,,84179,10277,0.217,-0.331,0.547,
005380,ofi_proxy,50,,84144,10277,0.342,-0.662,1.005,
005380,ofi_proxy,200,,83994,10263,0.102,-1.245,1.347,
005380,micropx_dev_bps,10,0.2365,84169,8417,0.971,-1.424,2.395,10.188
005380,micropx_dev_bps,50,0.2928,84129,8413,2.22,-3.395,5.615,10.188
005380,micropx_dev_bps,200,0.2405,83979,8398,3.458,-4.992,8.45,10.188
005380,vol_flow,10,,84179,9122,-0.04,inf,-inf,
005380,vol_flow,50,,84144,9121,-0.061,inf,-inf,
005380,vol_flow,200,,83994,9103,-0.405,inf,-inf,
