signal,horizon,avg_ic,avg_ev_top,avg_ev_bot,avg_LS,avg_spread
micropx_dev_bps,10,0.2644,1.1833333333333333,-1.5093333333333334,2.6923333333333335,8.752333333333334
micropx_dev_bps,50,0.295,2.1833333333333336,-3.1040000000000005,5.287333333333334,8.752333333333334
micropx_dev_bps,200,0.21,2.531,-4.417333333333333,6.948,8.752333333333334
obi_1,10,,1.1863333333333332,-1.514,2.7006666666666668,
obi_1,50,,2.183666666666667,-3.124333333333333,5.307666666666667,
obi_1,200,,2.521333333333333,-4.426,6.947,
obi_total,10,,0.17,inf,-inf,
obi_total,50,,0.39766666666666667,inf,-inf,
obi_total,200,,0.297,inf,-inf,
ofi_proxy,10,,0.26999999999999996,-0.38399999999999995,0.6536666666666667,
ofi_proxy,50,,0.412,-0.7566666666666667,1.1686666666666667,
ofi_proxy,200,,0.146,-1.5023333333333333,1.6483333333333334,
vol_flow,10,,-0.09100000000000001,inf,-inf,
vol_flow,50,,-0.20466666666666666,inf,-inf,
vol_flow,200,,-0.7596666666666666,inf,-inf,
