open_time,open,high,low,close,volume,close_time,quote_volume,n_trades,taker_buy_base,taker_buy_quote,_ignore
1751328000000,2485.47000000,2494.99000000,2484.81000000,2493.12000000,4008.29750000,1751328899999,9983531.06304900,16876,2408.92290000,6000292.30326400,0
1751328900000,2493.13000000,2496.65000000,2484.28000000,2484.47000000,2899.15210000,1751329799999,7220474.18044600,16857,1220.22970000,3040084.88127500,0
1751329800000,2484.48000000,2489.27000000,2477.44000000,2488.79000000,4335.37930000,1751330699999,10762073.18793100,25900,1685.67410000,4183888.81026100,0
1751330700000,2488.80000000,2494.65000000,2488.79000000,2493.35000000,2350.20800000,1751331599999,5857034.68645600,11461,895.12010000,2230356.83490400,0
1751331600000,2493.35000000,2498.70000000,2490.55000000,2498.23000000,2548.03230000,1751332499999,6353968.41150100,14492,1239.28170000,3090897.69223900,0
1751332500000,2498.24000000,2498.76000000,2492.03000000,2493.16000000,2077.21740000,1751333399999,5184019.87219400,13394,807.21720000,2014561.46129200,0
1751333400000,2493.16000000,2500.80000000,2492.00000000,2492.62000000,1697.33920000,1751334299999,4237107.48339400,13975,866.16450000,2162955.10060500,0
1751334300000,2492.63000000,2495.35000000,2486.83000000,2488.78000000,1518.61020000,1751335199999,3782574.28875700,11455,552.08110000,1374992.20625000,0
1751335200000,2488.79000000,2493.19000000,2485.82000000,2491.00000000,1508.12920000,1751336099999,3754478.94721400,12321,695.09210000,1730532.07859700,0
1751336100000,2491.00000000,2494.70000000,2489.70000000,2494.63000000,967.66950000,1751336999999,2411423.52746400,11452,499.72050000,1245383.58159000,0
1751337000000,2494.64000000,2495.84000000,2486.94000000,2487.55000000,1677.64690000,1751337899999,4178709.71557500,13386,712.70950000,1775215.55757600,0
1751337900000,2487.55000000,2487.55000000,2482.39000000,2483.54000000,3595.58250000,1751338799999,8934014.94676100,13795,1265.52450000,3144158.11212900,0
1751338800000,2483.55000000,2486.11000000,2478.91000000,2483.75000000,1547.73950000,1751339699999,3843057.29146300,13589,644.91560000,1601355.35154200,0
1751339700000,2483.75000000,2488.00000000,2483.56000000,2487.75000000,1186.64900000,1751340599999,2949803.98563000,8478,737.08360000,1832384.16746700,0
1751340600000,2487.75000000,2487.77000000,2482.80000000,2483.88000000,1598.39670000,1751341499999,3971230.35507800,7652,656.34010000,1630540.89897500,0
1751341500000,2483.87000000,2486.25000000,2481.96000000,2485.42000000,1548.17320000,1751342399999,3845232.40945200,7858,817.84150000,2031091.13248200,0
1751342400000,2485.43000000,2485.91000000,2481.59000000,2483.60000000,876.83960000,1751343299999,2177798.09869400,6376,337.75830000,838830.18425000,0
