open_time,open,high,low,close,volume,close_time,quote_volume,n_trades,taker_buy_base,taker_buy_quote,_ignore
1751328000000,154.82000000,155.08000000,154.43000000,154.86000000,41157.07000000,1751328899999,6370405.49173000,15641,21951.29800000,3397895.74144000,0
1751328900000,154.86000000,155.64000000,153.91000000,153.99000000,33565.91400000,1751329799999,5198891.44199000,20974,15013.37400000,2327828.61449000,0
1751329800000,153.98000000,154.39000000,153.39000000,154.34000000,35377.40700000,1751330699999,5443314.31165000,23983,14729.46900000,2266584.68376000,0
1751330700000,154.35000000,154.78000000,154.32000000,154.76000000,17931.23800000,1751331599999,2770857.17668000,8829,10962.19000000,1694034.31377000,0
1751331600000,154.76000000,155.06000000,154.35000000,155.05000000,28573.26100000,1751332499999,4420818.96024000,13098,21461.85400000,3320768.54175000,0
1751332500000,155.05000000,155.22000000,154.85000000,154.88000000,24640.35900000,1751333399999,3819318.34282000,9846,13577.62500000,2104440.12776000,0
1751333400000,154.89000000,155.20000000,154.68000000,154.78000000,14035.25100000,1751334299999,2173748.23431000,11374,5107.70900000,791240.00092000,0
1751334300000,154.79000000,154.96000000,154.30000000,154.39000000,14012.66200000,1751335199999,2166423.21121000,11477,6452.80500000,997554.79867000,0
1751335200000,154.39000000,154.39000000,153.89000000,154.06000000,16612.30500000,1751336099999,2560490.42177000,12315,5777.13500000,890447.12121000,0
1751336100000,154.06000000,154.29000000,153.89000000,153.92000000,25895.62600000,1751336999999,3988878.73050000,11939,16750.39200000,2580066.50820000,0
1751337000000,153.93000000,154.10000000,153.61000000,153.70000000,25245.75200000,1751337899999,3884438.48381000,15273,12422.39000000,1911472.89291000,0
1751337900000,153.70000000,153.76000000,153.17000000,153.34000000,16649.95800000,1751338799999,2553541.35358000,13071,6658.75100000,1021309.61640000,0
1751338800000,153.34000000,153.57000000,153.18000000,153.37000000,9372.20500000,1751339699999,1437385.35021000,11350,4705.54000000,721766.60346000,0
1751339700000,153.37000000,153.84000000,153.30000000,153.74000000,13101.63000000,1751340599999,2012224.17062000,9530,7977.08900000,1225099.04933000,0
1751340600000,153.74000000,153.93000000,153.61000000,153.81000000,14343.41400000,1751341499999,2205915.06706000,7852,9310.64800000,1432052.94663000,0
1751341500000,153.80000000,153.98000000,153.64000000,153.94000000,9678.10600000,1751342399999,1488396.13675000,7257,5816.02600000,894495.13093000,0
1751342400000,153.93000000,153.93000000,153.31000000,153.41000000,15058.04500000,1751343299999,2311797.17528000,7532,5268.31100000,808816.15532000,0
1751343300000,153.42000000,153.44000000,152.88000000,153.03000000,17215.43100000,1751344199999,2635800.80992000,12054,4808.38100000,736353.60215000,0
1751344200000,153.03000000,153.10000000,152.77000000,152.80000000,11573.32800000,1751345099999,1769710.97455000,8146,6848.59000000,1047312.04806000,0
1751345100000,152.80000000,152.91000000,152.46000000,152.50000000,26866.21200000,1751345999999,4099634.72733000,11719,10026.05800000,1530252.27165000,0
1751346000000,152.51000000,152.79000000,152.20000000,152.22000000,32012.21300000,1751346899999,4878565.52738000,13139,17701.62900000,2696957.47307000,0
1751346900000,152.22000000,152.49000000,151.36000000,151.60000000,62854.19800000,1751347799999,9534120.20728000,22880,14822.71000000,2248820.67079000,0
1751347800000,151.59000000,151.76000000,151.00000000,151.31000000,108883.49400000,1751348699999,16474361.70491000,30473,22920.11800000,3468795.97947000,0
1751348700000,151.32000000,151.65000000,151.00000000,151.48000000,22094.72100000,1751349599999,3344108.91139000,14973,12426.32300000,1880759.04569000,0
1751349600000,151.48000000,151.48000000,151.10000000,151.15000000,16801.04000000,1751350499999,2541064.93368000,9127,7613.01100000,1151510.49561000,0
1751350500000,151.14000000,151.34000000,150.98000000,151.09000000,20505.92900000,1751351399999,3099128.57440000,13074,10951.88400000,1655251.39761000,0
