open_time,open,high,low,close,volume,close_time,quote_volume,n_trades,taker_buy_base,taker_buy_quote,_ignore
1751328000000,154.82000000,155.64000000,153.39000000,154.76000000,128031.62900000,1751331599999,19783468.42205000,69427,62656.33100000,9686343.35346000,0
1751331600000,154.76000000,155.22000000,154.30000000,154.39000000,81261.53300000,1751335199999,12580308.74858000,45795,46599.99300000,7214003.46910000,0
1751335200000,154.39000000,154.39000000,153.17000000,153.34000000,84403.64100000,1751338799999,12987348.98966000,52598,41608.66800000,6403296.13872000,0
1751338800000,153.34000000,153.98000000,153.18000000,153.94000000,46495.35500000,1751342399999,7143920.72464000,35989,27809.30300000,4273413.73035000,0
1751342400000,153.93000000,153.93000000,152.46000000,152.50000000,70713.01600000,1751345999999,10816943.68708000,39451,26951.34000000,4122734.07718000,0
1751346000000,152.51000000,152.79000000,151.00000000,151.48000000,225844.62600000,1751349599999,34231156.35096000,81465,67870.78000000,10295333.16902000,0
1751349600000,151.48000000,151.50000000,150.96000000,151.27000000,75286.04100000,1751353199999,11386480.74418000,43679,40194.90200000,6079152.67919000,0
1751353200000,151.27000000,151.50000000,148.82000000,150.07000000,272410.39100000,1751356799999,40845875.90475000,97894,130373.93700000,19548000.11183000,0
1751356800000,150.06000000,150.07000000,149.01000000,149.06000000,154703.68700000,1751360399999,23136189.12596000,63890,68539.02000000,10253694.99370000,0
1751360400000,149.05000000,149.40000000,148.40000000,149.23000000,117346.21900000,1751363999999,17470393.55599000,64699,61967.90400000,9228067.67007000,0
1751364000000,149.23000000,149.35000000,148.57000000,148.96000000,101380.33000000,1751367599999,15103059.75556000,52022,55925.25100000,8331664.60430000,0
1751367600000,148.95000000,149.20000000,148.14000000,148.84000000,96894.12800000,1751371199999,14412023.59893000,52045,45770.26400000,6807515.81468000,0
1751371200000,148.85000000,149.06000000,147.91000000,148.35000000,106493.16400000,1751374799999,15804092.82248000,55269,35614.55000000,5286569.65451000,0
1751374800000,148.34000000,148.54000000,146.89000000,148.34000000,197213.63600000,1751378399999,29177116.45526000,106627,93347.29500000,13818184.90695000,0
1751378400000,148.34000000,149.29000000,146.24000000,147.23000000,214743.47600000,1751381999999,31708343.28852000,149078,105219.43900000,15554416.27951000,0
1751382000000,147.22000000,147.85000000,146.80000000,147.22000000,96342.37300000,1751385599999,14195624.85107000,76292,48950.27200000,7212695.57572000,0
1751385600000,147.22000000,148.36000000,147.06000000,148.33000000,90714.00900000,1751389199999,13406178.21340000,63540,35756.78900000,5284436.04442000,0
1751389200000,148.33000000,148.45000000,147.60000000,147.92000000,78253.50400000,1751392799999,11578805.87662000,57416,26637.69900000,3942413.07874000,0
1751392800000,147.92000000,147.93000000,145.50000000,146.01000000,130919.73000000,1751396399999,19190585.57505000,67633,39833.63300000,5836485.36943000,0
1751396400000,146.00000000,146.70000000,145.33000000,145.46000000,147515.86000000,1751399999999,21531098.58564000,92447,55896.12300000,8158758.62173000,0
1751400000000,145.46000000,146.68000000,144.85000000,146.45000000,116735.64600000,1751403599999,16989975.45064000,60707,47052.36300000,6856387.11850000,0
1751403600000,146.44000000,147.00000000,146.02000000,146.51000000,55819.90200000,1751407199999,8178054.34408000,37980,22177.51100000,3249791.48538000,0
1751407200000,146.51000000,147.02000000,146.22000000,146.72000000,41094.80100000,1751410799999,6028879.81390000,34183,24220.86600000,3553016.27447000,0
1751410800000,146.73000000,146.96000000,146.30000000,146.88000000,40245.47700000,1751414399999,5902577.87590000,30057,17922.72500000,2629313.24077000,0
1751414400000,146.87000000,147.53000000,146.61000000,146.76000000,55870.52900000,1751417999999,8216123.90038000,39738,25900.85900000,3809312.89144000,0
1751418000000,146.76000000,147.92000000,145.85000000,147.84000000,80145.72600000,1751421599999,11788158.70962000,49704,43231.52100000,6363426.11497000,0
1751421600000,147.85000000,148.47000000,147.29000000,148.42000000,75454.22600000,1751425199999,11164636.52360000,39521,38277.76300000,5663124.00660000,0
1751425200000,148.42000000,149.25000000,148.27000000,148.87000000,80475.02900000,1751428799999,11980091.91252000,47897,45405.27100000,6759847.61882000,0
1751428800000,148.86000000,149.26000000,148.32000000,149.14000000,55956.92800000,1751432399999,8324032.45305000,39291,23121.47200000,3439166.28162000,0
1751432400000,149.13000000,149.17000000,148.52000000,149.04000000,53117.45000000,1751435999999,7906886.94874000,36328,25255.75000000,3760026.35223000,0
1751436000000,149.04000000,149.78000000,148.71000000,149.67000000,75038.45400000,1751439599999,11203813.82321000,51579,34379.84400000,5134370.77209000,0
1751439600000,149.68000000,149.92000000,148.87000000,149.09000000,62943.78100000,1751443199999,9393288.93415000,41453,30663.34900000,4576835.14563000,0
1751443200000,149.10000000,149.99000000,149.08000000,149.19000000,91634.74100000,1751446799999,13701644.80613000,50654,50210.99100000,7508399.84312000,0
1751446800000,149.19000000,149.59000000,148.59000000,148.64000000,75641.48900000,1751450399999,11280144.86090000,38107,41782.91000000,6232315.90708000,0
1751450400000,148.65000000,149.50000000,148.44000000,149.47000000,62931.88400000,1751453999999,9384645.70375000,33006,33134.83300000,4940420.46011000,0
1751454000000,149.46000000,149.67000000,148.39000000,148.62000000,57145.84700000,1751457599999,8515676.83676000,37163,26826.33600000,3998790.90120000,0
1751457600000,148.61000000,148.62000000,147.12000000,147.69000000,92783.82200000,1751461199999,13707322.97457000,55209,34501.38400000,5095598.27070000,0
1751461200000,147.69000000,149.94000000,147.62000000,149.26000000,178197.59700000,1751464799999,26531588.43571000,104310,104263.35300000,15519778.74956000,0
1751464800000,149.26000000,150.63000000,149.05000000,150.28000000,182197.52400000,1751468399999,27290627.99871000,110094,109591.27800000,16416825.30670000,0
1751468400000,150.28000000,151.58000000,150.00000000,151.31000000,215543.53000000,1751471999999,32518237.90948000,118165,124192.24500000,18738626.42779000,0
1751472000000,151.31000000,153.64000000,151.05000000,153.13000000,385210.08400000,1751475599999,58782933.36478000,219875,227340.00700000,34692553.86983000,0
1751475600000,153.14000000,153.52000000,150.33000000,151.58000000,196589.09000000,1751479199999,29894407.20297000,132793,84925.81700000,12922172.65914000,0
1751479200000,151.57000000,152.32000000,151.33000000,152.32000000,93082.73500000,1751482799999,14138479.18223000,79655,51151.06800000,7770983.14352000,0
1751482800000,152.31000000,153.27000000,151.50000000,153.02000000,130585.08700000,1751486399999,19908729.75274000,96140,81060.15800000,12360985.53694000,0
1751486400000,153.02000000,153.98000000,152.46000000,152.80000000,99530.84600000,1751489999999,15247113.35956000,73844,52333.08200000,8017987.65010000,0
1751490000000,152.80000000,154.03000000,152.79000000,153.77000000,91120.56100000,1751493599999,13990759.62834000,53301,48428.25200000,7435771.51664000,0
1751493600000,153.78000000,154.47000000,153.37000000,153.53000000,66264.91100000,1751497199999,10193808.91826000,49216,33415.51200000,5141230.26947000,0
1751497200000,153.53000000,153.67000000,151.97000000,152.27000000,95112.40800000,1751500799999,14503703.45103000,50958,33643.30300000,5131536.06868000,0
1751500800000,152.28000000,153.28000000,151.95000000,153.08000000,72405.85500000,1751504399999,11050813.86664000,60286,35551.51900000,5424634.16132000,0
1751504400000,153.08000000,153.29000000,152.51000000,153.14000000,44258.38200000,1751507999999,6768143.79796000,44525,19175.62400000,2932409.45973000,0
1751508000000,153.14000000,153.16000000,151.77000000,152.79000000,84106.46300000,1751511599999,12819305.60526000,53863,33003.92300000,5029905.86396000,0
1751511600000,152.80000000,154.02000000,152.78000000,153.42000000,83298.53800000,1751515199999,12780221.19793000,52793,45926.03000000,7047509.33975000,0
1751515200000,153.41000000,154.04000000,153.22000000,153.83000000,51015.93100000,1751518799999,7844247.65860000,43731,20536.76900000,3157876.25769000,0
1751518800000,153.83000000,155.93000000,153.78000000,155.70000000,204139.08200000,1751522399999,31669812.79718000,95506,132661.93200000,20572183.40236000,0
1751522400000,155.70000000,155.95000000,155.14000000,155.45000000,80719.92600000,1751525999999,12548715.84042000,56355,35368.76500000,5498136.65290000,0
1751526000000,155.45000000,155.81000000,154.84000000,155.61000000,91774.35800000,1751529599999,14249799.22269000,48898,41890.16200000,6503708.93313000,0
1751529600000,155.61000000,155.92000000,155.17000000,155.22000000,69997.41100000,1751533199999,10892211.10484000,44598,32479.79600000,5054471.88763000,0
