symbol,feature,horizon,ic,n
BTCUSDT,roc_1h,fwd_1h,-0.0013788721399734052,2950
BTCUSDT,roc_1h,fwd_3h,-0.01833358608167502,2948
BTCUSDT,roc_1h,fwd_6h,0.01646786255485985,2945
BTCUSDT,roc_1h,fwd_12h,-0.005887101496588447,2939
BTCUSDT,roc_1h,fwd_24h,-0.008753304827695376,2927
BTCUSDT,roc_1h,fwd_48h,-0.0034082665012306907,2903
BTCUSDT,roc_1h,fwd_72h,-0.00760484651185359,2879
BTCUSDT,roc_1h,fwd_168h,0.01019856230947296,2783
BTCUSDT,roc_3h,fwd_1h,-0.018322417353185256,2948
BTCUSDT,roc_3h,fwd_3h,0.021119660910617826,2946
BTCUSDT,roc_3h,fwd_6h,0.02589167215885804,2943
BTCUSDT,roc_3h,fwd_12h,-0.007232991435889412,2937
BTCUSDT,roc_3h,fwd_24h,-0.0072057384109084285,2925
BTCUSDT,roc_3h,fwd_48h,-0.0048156593359367315,2901
BTCUSDT,roc_3h,fwd_72h,-0.015091712492814758,2877
BTCUSDT,roc_3h,fwd_168h,0.018317321087289794,2781
BTCUSDT,roc_6h,fwd_1h,0.01633828074201666,2945
BTCUSDT,roc_6h,fwd_3h,0.02573056045267891,2943
BTCUSDT,roc_6h,fwd_6h,0.0029186449886451846,2940
BTCUSDT,roc_6h,fwd_12h,-0.01766796803525098,2934
BTCUSDT,roc_6h,fwd_24h,-0.012620091915951438,2922
BTCUSDT,roc_6h,fwd_48h,-0.013979519058374764,2898
BTCUSDT,roc_6h,fwd_72h,-0.019348943978103033,2874
BTCUSDT,roc_6h,fwd_168h,0.02045745998456797,2778
BTCUSDT,roc_12h,fwd_1h,-0.006989080134215684,2939
BTCUSDT,roc_12h,fwd_3h,-0.00835435811856287,2937
BTCUSDT,roc_12h,fwd_6h,-0.01859306083164706,2934
BTCUSDT,roc_12h,fwd_12h,-0.02545254063644437,2928
BTCUSDT,roc_12h,fwd_24h,-0.017868470366623212,2916
BTCUSDT,roc_12h,fwd_48h,-0.022918930751710774,2892
BTCUSDT,roc_12h,fwd_72h,-0.009952321986704031,2868
BTCUSDT,roc_12h,fwd_168h,0.019515833218234257,2772
BTCUSDT,roc_24h,fwd_1h,-0.010403658874203777,2927
BTCUSDT,roc_24h,fwd_3h,-0.008666480160457993,2925
BTCUSDT,roc_24h,fwd_6h,-0.013358341531588235,2922
BTCUSDT,roc_24h,fwd_12h,-0.01698745407571611,2916
BTCUSDT,roc_24h,fwd_24h,-0.0030214126211531482,2904
BTCUSDT,roc_24h,fwd_48h,-0.026243861918950145,2880
BTCUSDT,roc_24h,fwd_72h,0.033799825762417,2856
BTCUSDT,roc_24h,fwd_168h,0.030885556418446057,2760
BTCUSDT,roc_48h,fwd_1h,-0.0063541256426223785,2903
BTCUSDT,roc_48h,fwd_3h,-0.00801243213208557,2901
BTCUSDT,roc_48h,fwd_6h,-0.017477684549651467,2898
BTCUSDT,roc_48h,fwd_12h,-0.027506690657706306,2892
BTCUSDT,roc_48h,fwd_24h,-0.03177497093270471,2880
BTCUSDT,roc_48h,fwd_48h,0.018700289378761746,2856
BTCUSDT,roc_48h,fwd_72h,0.05221345045148196,2832
BTCUSDT,roc_48h,fwd_168h,0.030462479186576543,2736
BTCUSDT,roc_72h,fwd_1h,-0.009124654937842683,2879
BTCUSDT,roc_72h,fwd_3h,-0.016289965323903224,2877
BTCUSDT,roc_72h,fwd_6h,-0.019429882796021678,2874
BTCUSDT,roc_72h,fwd_12h,-0.007703982667252951,2868
BTCUSDT,roc_72h,fwd_24h,0.03975939695326032,2856
BTCUSDT,roc_72h,fwd_48h,0.06379609719284537,2832
BTCUSDT,roc_72h,fwd_72h,0.08727438743956717,2808
BTCUSDT,roc_72h,fwd_168h,-0.008348739758333442,2712
BTCUSDT,roc_168h,fwd_1h,0.00783351191141766,2783
BTCUSDT,roc_168h,fwd_3h,0.015171085519685289,2781
BTCUSDT,roc_168h,fwd_6h,0.016399970929824353,2778
BTCUSDT,roc_168h,fwd_12h,0.014095264522993934,2772
BTCUSDT,roc_168h,fwd_24h,0.02324030907040787,2760
BTCUSDT,roc_168h,fwd_48h,0.015546261640619626,2736
BTCUSDT,roc_168h,fwd_72h,-0.026220567371325214,2712
BTCUSDT,roc_168h,fwd_168h,-0.29071410293010785,2616
BTCUSDT,zscore_24h,fwd_1h,0.014372293058471371,2928
BTCUSDT,zscore_24h,fwd_3h,0.013353110222722914,2926
BTCUSDT,zscore_24h,fwd_6h,0.012636023994450196,2923
BTCUSDT,zscore_24h,fwd_12h,-0.006794598803629914,2917
BTCUSDT,zscore_24h,fwd_24h,0.016673769450160112,2905
BTCUSDT,zscore_24h,fwd_48h,0.03582912536355641,2881
BTCUSDT,zscore_24h,fwd_72h,0.04086679822555186,2857
BTCUSDT,zscore_24h,fwd_168h,0.03466836588447014,2761
BTCUSDT,zscore_48h,fwd_1h,0.006722425697682982,2904
BTCUSDT,zscore_48h,fwd_3h,0.006330386307005547,2902
BTCUSDT,zscore_48h,fwd_6h,0.010733220682947374,2899
BTCUSDT,zscore_48h,fwd_12h,0.015688390893776816,2893
BTCUSDT,zscore_48h,fwd_24h,0.03575539399764419,2881
BTCUSDT,zscore_48h,fwd_48h,0.0445832378786476,2857
BTCUSDT,zscore_48h,fwd_72h,0.07338275315446936,2833
BTCUSDT,zscore_48h,fwd_168h,0.04822707541335657,2737
BTCUSDT,zscore_72h,fwd_1h,0.0063059006662900706,2880
BTCUSDT,zscore_72h,fwd_3h,0.011713619848042492,2878
BTCUSDT,zscore_72h,fwd_6h,0.01413363631848047,2875
BTCUSDT,zscore_72h,fwd_12h,0.00781391435756161,2869
BTCUSDT,zscore_72h,fwd_24h,0.03338326576522913,2857
BTCUSDT,zscore_72h,fwd_48h,0.06697667889531925,2833
BTCUSDT,zscore_72h,fwd_72h,0.09648294187205887,2809
BTCUSDT,zscore_72h,fwd_168h,0.037721000633921406,2713
BTCUSDT,zscore_168h,fwd_1h,0.011651002109869742,2784
BTCUSDT,zscore_168h,fwd_3h,0.026161844805578243,2782
BTCUSDT,zscore_168h,fwd_6h,0.03560286592229444,2779
BTCUSDT,zscore_168h,fwd_12h,0.04602488196667779,2773
BTCUSDT,zscore_168h,fwd_24h,0.08101294000423409,2761
BTCUSDT,zscore_168h,fwd_48h,0.08553330590228525,2737
BTCUSDT,zscore_168h,fwd_72h,0.09780796221970688,2713
BTCUSDT,zscore_168h,fwd_168h,-0.06662390162166594,2617
BTCUSDT,hl_range_mean_12h,fwd_1h,-0.0336651403522986,2940
BTCUSDT,hl_range_mean_12h,fwd_3h,-0.06100574609595132,2938
BTCUSDT,hl_range_mean_12h,fwd_6h,-0.08634920827732101,2935
BTCUSDT,hl_range_mean_12h,fwd_12h,-0.1176344898492788,2929
BTCUSDT,hl_range_mean_12h,fwd_24h,-0.1523005742860816,2917
BTCUSDT,hl_range_mean_12h,fwd_48h,-0.08122904798824206,2893
BTCUSDT,hl_range_mean_12h,fwd_72h,-0.10565689821297142,2869
BTCUSDT,hl_range_mean_12h,fwd_168h,-0.17765742665951226,2773
BTCUSDT,hl_range_z_12h,fwd_1h,0.0006540302198901559,2940
BTCUSDT,hl_range_z_12h,fwd_3h,0.02058812536738409,2938
BTCUSDT,hl_range_z_12h,fwd_6h,0.0361744584381071,2935
BTCUSDT,hl_range_z_12h,fwd_12h,0.01437670913024832,2929
BTCUSDT,hl_range_z_12h,fwd_24h,-0.006739502572203745,2917
BTCUSDT,hl_range_z_12h,fwd_48h,-0.021484467718392977,2893
BTCUSDT,hl_range_z_12h,fwd_72h,0.006832191603522647,2869
BTCUSDT,hl_range_z_12h,fwd_168h,0.011996062383740437,2773
BTCUSDT,hl_range_mean_24h,fwd_1h,-0.0416863332442738,2928
BTCUSDT,hl_range_mean_24h,fwd_3h,-0.07378284336041963,2926
BTCUSDT,hl_range_mean_24h,fwd_6h,-0.1025418954119661,2923
BTCUSDT,hl_range_mean_24h,fwd_12h,-0.12552483229031636,2917
BTCUSDT,hl_range_mean_24h,fwd_24h,-0.1213428993195507,2905
BTCUSDT,hl_range_mean_24h,fwd_48h,-0.0605260509536443,2881
BTCUSDT,hl_range_mean_24h,fwd_72h,-0.11794802385259179,2857
BTCUSDT,hl_range_mean_24h,fwd_168h,-0.19864205692897427,2761
BTCUSDT,hl_range_z_24h,fwd_1h,0.002238416581540713,2928
BTCUSDT,hl_range_z_24h,fwd_3h,0.013403399175866217,2926
BTCUSDT,hl_range_z_24h,fwd_6h,0.0252309985937401,2923
BTCUSDT,hl_range_z_24h,fwd_12h,-0.0013260716454954649,2917
BTCUSDT,hl_range_z_24h,fwd_24h,-0.03471573047864109,2905
BTCUSDT,hl_range_z_24h,fwd_48h,-0.04305647842174032,2881
BTCUSDT,hl_range_z_24h,fwd_72h,0.0030817360047717553,2857
BTCUSDT,hl_range_z_24h,fwd_168h,0.0010771773748632783,2761
BTCUSDT,hl_range_mean_48h,fwd_1h,-0.020445472966419253,2904
BTCUSDT,hl_range_mean_48h,fwd_3h,-0.03463829609014683,2902
BTCUSDT,hl_range_mean_48h,fwd_6h,-0.04473056876688369,2899
BTCUSDT,hl_range_mean_48h,fwd_12h,-0.049881350609118025,2893
BTCUSDT,hl_range_mean_48h,fwd_24h,-0.042926735240836685,2881
BTCUSDT,hl_range_mean_48h,fwd_48h,-0.06592072623290308,2857
BTCUSDT,hl_range_mean_48h,fwd_72h,-0.14318043366514072,2833
BTCUSDT,hl_range_mean_48h,fwd_168h,-0.21049017028205105,2737
BTCUSDT,hl_range_z_48h,fwd_1h,-0.004652478828212257,2904
BTCUSDT,hl_range_z_48h,fwd_3h,0.005152517564378461,2902
BTCUSDT,hl_range_z_48h,fwd_6h,0.014446716271868568,2899
BTCUSDT,hl_range_z_48h,fwd_12h,-0.024143666935362528,2893
BTCUSDT,hl_range_z_48h,fwd_24h,-0.062131125671981514,2881
BTCUSDT,hl_range_z_48h,fwd_48h,-0.03758616870673014,2857
BTCUSDT,hl_range_z_48h,fwd_72h,0.014395424913858467,2833
BTCUSDT,hl_range_z_48h,fwd_168h,0.003074088222587335,2737
BTCUSDT,rv_24h,fwd_1h,-0.04302553086585693,2927
BTCUSDT,rv_24h,fwd_3h,-0.07631022151402424,2925
BTCUSDT,rv_24h,fwd_6h,-0.10612997346435386,2922
BTCUSDT,rv_24h,fwd_12h,-0.12605707987326928,2916
BTCUSDT,rv_24h,fwd_24h,-0.09004390486609094,2904
BTCUSDT,rv_24h,fwd_48h,-0.025521275106314814,2880
BTCUSDT,rv_24h,fwd_72h,-0.0324132166385828,2856
BTCUSDT,rv_24h,fwd_168h,-0.11586066341354943,2760
BTCUSDT,rv_z_24h,fwd_1h,-0.035761168507902015,2760
BTCUSDT,rv_z_24h,fwd_3h,-0.06483096026312957,2758
BTCUSDT,rv_z_24h,fwd_6h,-0.09060046283386511,2755
BTCUSDT,rv_z_24h,fwd_12h,-0.10577765722492051,2749
BTCUSDT,rv_z_24h,fwd_24h,-0.05992226768499804,2737
BTCUSDT,rv_z_24h,fwd_48h,0.009878095477119982,2713
BTCUSDT,rv_z_24h,fwd_72h,0.019507932499049748,2689
BTCUSDT,rv_z_24h,fwd_168h,-0.03956330451729881,2593
BTCUSDT,close_in_range,fwd_1h,-0.006120994397306693,2951
BTCUSDT,close_in_range,fwd_3h,-0.01570008392086399,2949
BTCUSDT,close_in_range,fwd_6h,0.02245453459379717,2946
BTCUSDT,close_in_range,fwd_12h,-0.0031697561110680997,2940
BTCUSDT,close_in_range,fwd_24h,-0.004322987889361404,2928
BTCUSDT,close_in_range,fwd_48h,0.002253431273622069,2904
BTCUSDT,close_in_range,fwd_72h,0.010498329764631659,2880
BTCUSDT,close_in_range,fwd_168h,0.02290366214361643,2784
BTCUSDT,vol_z_24h,fwd_1h,-0.023736915339427466,2928
BTCUSDT,vol_z_24h,fwd_3h,0.004581859666744261,2926
BTCUSDT,vol_z_24h,fwd_6h,0.020509648704145855,2923
BTCUSDT,vol_z_24h,fwd_12h,0.00029284971242818847,2917
BTCUSDT,vol_z_24h,fwd_24h,-0.03080756085732159,2905
BTCUSDT,vol_z_24h,fwd_48h,-0.03946898790783028,2881
BTCUSDT,vol_z_24h,fwd_72h,0.014415691082187971,2857
BTCUSDT,vol_z_24h,fwd_168h,0.012722144392273742,2761
BTCUSDT,qvol_z_24h,fwd_1h,-0.02375598599273699,2928
BTCUSDT,qvol_z_24h,fwd_3h,0.004570631803017907,2926
BTCUSDT,qvol_z_24h,fwd_6h,0.020266609658559025,2923
BTCUSDT,qvol_z_24h,fwd_12h,-0.00040604651297977413,2917
BTCUSDT,qvol_z_24h,fwd_24h,-0.03139900273428056,2905
BTCUSDT,qvol_z_24h,fwd_48h,-0.039707691310454735,2881
BTCUSDT,qvol_z_24h,fwd_72h,0.014353765868984724,2857
BTCUSDT,qvol_z_24h,fwd_168h,0.012947774319606985,2761
BTCUSDT,taker_buy_ratio,fwd_1h,-0.0027871845318379017,2951
BTCUSDT,taker_buy_ratio,fwd_3h,0.005106185712847053,2949
BTCUSDT,taker_buy_ratio,fwd_6h,0.012579376699944534,2946
BTCUSDT,taker_buy_ratio,fwd_12h,-0.004044168872648818,2940
BTCUSDT,taker_buy_ratio,fwd_24h,0.0003446408990469383,2928
BTCUSDT,taker_buy_ratio,fwd_48h,-0.019450220065469214,2904
BTCUSDT,taker_buy_ratio,fwd_72h,-0.016776780162241337,2880
BTCUSDT,taker_buy_ratio,fwd_168h,-0.02773405399908659,2784
BTCUSDT,taker_buy_z_24h,fwd_1h,-0.0012264025559155863,2928
BTCUSDT,taker_buy_z_24h,fwd_3h,0.009854950814466861,2926
BTCUSDT,taker_buy_z_24h,fwd_6h,0.025440074403396854,2923
BTCUSDT,taker_buy_z_24h,fwd_12h,0.01711122266939723,2917
BTCUSDT,taker_buy_z_24h,fwd_24h,0.026785656782526247,2905
BTCUSDT,taker_buy_z_24h,fwd_48h,0.02038159396023376,2881
BTCUSDT,taker_buy_z_24h,fwd_72h,0.021639482810389705,2857
BTCUSDT,taker_buy_z_24h,fwd_168h,0.009077396861492393,2761
BTCUSDT,taker_buy_persistence,fwd_1h,0.01870220599126472,2784
BTCUSDT,taker_buy_persistence,fwd_3h,0.02421820033242595,2782
BTCUSDT,taker_buy_persistence,fwd_6h,0.014143553241034806,2779
BTCUSDT,taker_buy_persistence,fwd_12h,0.02301646871904442,2773
BTCUSDT,taker_buy_persistence,fwd_24h,0.01883113963285375,2761
BTCUSDT,taker_buy_persistence,fwd_48h,-0.0029831579597641585,2737
BTCUSDT,taker_buy_persistence,fwd_72h,0.024561379364705007,2713
BTCUSDT,taker_buy_persistence,fwd_168h,0.040381062182041925,2617
BTCUSDT,n_trades_z_24h,fwd_1h,-0.003606733105338523,2928
BTCUSDT,n_trades_z_24h,fwd_3h,0.012975387477871374,2926
BTCUSDT,n_trades_z_24h,fwd_6h,0.021078064357826363,2923
BTCUSDT,n_trades_z_24h,fwd_12h,-0.010530848306542166,2917
BTCUSDT,n_trades_z_24h,fwd_24h,-0.04079702857322322,2905
BTCUSDT,n_trades_z_24h,fwd_48h,-0.051472748947529824,2881
BTCUSDT,n_trades_z_24h,fwd_72h,0.009382605435671333,2857
BTCUSDT,n_trades_z_24h,fwd_168h,0.0006446523452247549,2761
BTCUSDT,upper_wick_rel,fwd_1h,0.007125048038567218,2951
